epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2778.32,0.64133,0.46722,1.14751,0.95146,0.87338,0.93369,0.81576,0.57141,0.44429,1.15145,0.000396262,0.000396262,0.000396262
75,2815.68,0.64865,0.46071,1.16019,0.92145,0.91705,0.93996,0.81962,0.58815,0.4227,1.15624,0.000382115,0.000382115,0.000382115
76,2853.44,0.63266,0.43881,1.14777,0.91506,0.90603,0.93756,0.81345,0.60677,0.44576,1.16231,0.000367967,0.000367967,0.000367967
77,2889.72,0.62154,0.43042,1.13481,0.91732,0.89624,0.93215,0.81149,0.60738,0.45217,1.16459,0.00035382,0.00035382,0.00035382
78,2926.44,0.63236,0.44193,1.14505,0.91377,0.91344,0.93656,0.81422,0.60345,0.42676,1.16569,0.000339673,0.000339673,0.000339673
79,2962.83,0.62249,0.42542,1.13643,0.90555,0.9094,0.93104,0.81483,0.59818,0.43402,1.16081,0.000325526,0.000325526,0.000325526
80,2999.84,0.63034,0.44014,1.14281,0.91084,0.91145,0.93127,0.81032,0.60004,0.43732,1.15963,0.000311379,0.000311379,0.000311379
81,3035.92,0.62178,0.42918,1.13549,0.93154,0.90184,0.93676,0.81736,0.57142,0.40696,1.13892,0.000297232,0.000297232,0.000297232
82,3072.64,0.6154,0.43066,1.13604,0.91552,0.90266,0.93179,0.81818,0.5888,0.4324,1.15207,0.000283085,0.000283085,0.000283085
83,3109.18,0.61239,0.41928,1.13313,0.90867,0.90149,0.93412,0.81988,0.57454,0.42946,1.13985,0.000268938,0.000268938,0.000268938
84,3146.08,0.62126,0.43247,1.13065,0.92496,0.90166,0.93621,0.81916,0.5857,0.4265,1.14285,0.000254791,0.000254791,0.000254791
85,3183.33,0.61218,0.41881,1.13083,0.91549,0.89984,0.93606,0.81994,0.57499,0.41408,1.14132,0.000240644,0.000240644,0.000240644
86,3220.57,0.60256,0.42451,1.12579,0.9087,0.91665,0.93427,0.82177,0.55747,0.41608,1.1377,0.000226497,0.000226497,0.000226497
87,3256.96,0.6063,0.42224,1.12473,0.90641,0.912,0.93547,0.82043,0.56046,0.41099,1.13191,0.000212349,0.000212349,0.000212349
88,3293.49,0.61643,0.42087,1.13463,0.92785,0.90003,0.93662,0.8225,0.5706,0.40497,1.13826,0.000198202,0.000198202,0.000198202
89,3330.87,0.60733,0.42224,1.13159,0.90968,0.91455,0.93912,0.82409,0.57378,0.40392,1.13798,0.000184055,0.000184055,0.000184055
90,3367.81,0.61181,0.42009,1.12881,0.91494,0.91944,0.94051,0.82452,0.57078,0.39726,1.13595,0.000169908,0.000169908,0.000169908
91,3432.1,0.49135,0.36277,1.0864,0.9335,0.90292,0.93991,0.82536,0.57494,0.39462,1.14076,0.000155761,0.000155761,0.000155761
92,3471.95,0.48653,0.33711,1.08133,0.92544,0.91347,0.93736,0.81532,0.58308,0.40535,1.15337,0.000141614,0.000141614,0.000141614
93,3508.95,0.47849,0.33548,1.07288,0.91436,0.91391,0.93608,0.81852,0.58318,0.40295,1.15215,0.000127467,0.000127467,0.000127467
94,3545.7,0.47269,0.33512,1.07139,0.92816,0.90732,0.93515,0.81672,0.58349,0.40033,1.15815,0.00011332,0.00011332,0.00011332
95,3583.52,0.47455,0.3271,1.07749,0.91071,0.9066,0.9318,0.81448,0.57736,0.40904,1.15299,9.91726e-05,9.91726e-05,9.91726e-05
96,3620.56,0.47244,0.32715,1.06707,0.91709,0.90153,0.93764,0.81658,0.5776,0.40643,1.14846,8.50255e-05,8.50255e-05,8.50255e-05
97,3658.41,0.46363,0.32207,1.06118,0.93265,0.90487,0.93856,0.81929,0.57439,0.39938,1.14434,7.08784e-05,7.08784e-05,7.08784e-05
98,3695.36,0.46819,0.32376,1.06678,0.93758,0.90785,0.93917,0.8219,0.57098,0.39346,1.14554,5.67313e-05,5.67313e-05,5.67313e-05
99,3731.55,0.45569,0.31495,1.05284,0.93676,0.90003,0.93955,0.82084,0.5743,0.39239,1.14323,4.25842e-05,4.25842e-05,4.25842e-05
100,3768.1,0.45678,0.3145,1.05819,0.92013,0.91204,0.93858,0.82524,0.57122,0.39501,1.14074,2.84371e-05,2.84371e-05,2.84371e-05
